,link,Proj_name,BHK,Property_type,Area,Area_type,Floor,RERA_status,Property_age,Property_type,Sale_type,Own_type,Furnishing_type,Water_type,Powerbackup,Price
0,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-ratan-neptune-hadapsar-pune-585-sq-ft-spid-Q54377910,"Ratan Neptune Hadapsar, Pune",1BHK,Residential Apartment,585 sq.ft.,Super Built-up Area,11st  of 14 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,Borewell/Tank,Partial,28 Lac
1,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-panchshil-one-north-hadapsar-pune-3251-sq-ft-spid-T54909524,"Panchshil One North Hadapsar, Pune",4BHK,Residential Apartment,3251 sq.ft.,Super Built-up Area,4th  of 20 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Full,3.42 Cr
2,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-panchshil-one-north-hadapsar-pune-3250-sq-ft-spid-L55692744,"Panchshil One North Hadapsar, Pune",4BHK,Residential Apartment,3250 sq.ft.,Super Built-up Area,17th  of 20 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Furnished,Municipal corporation,Full,3.5 Cr
3,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-orchid-society-hadapsar-pune-1850-sq-ft-spid-N54328498,"Orchid Society Hadapsar, Pune",3BHK,Residential Apartment,1850 sq.ft.,Super Built-up Area,3rd  of 4 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,1.75 Cr
4,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-1235-sq-ft-spid-B52289794,"Amanora Future Towers Hadapsar, Pune",2BHK,Residential Apartment,1235 sq.ft.,Super Built-up Area,16th  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Full,1 Cr
5,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-2154-sq-ft-spid-S53797864,"Amanora Future Towers Hadapsar, Pune",4BHK,Residential Apartment,2154 sq.ft.,Built-up Area,22nd  of 30 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,1.71 Cr
6,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-850-sq-ft-spid-N54501108,"Amanora Trendy Homes Hadapsar, Pune",2BHK,Residential Apartment,850 sq.ft.,Super Built-up Area,2nd  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,70 Lac
7,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-756-sq-ft-spid-U54501182,"Amanora Future Towers Hadapsar, Pune",1BHK,Residential Apartment,756 sq.ft.,Super Built-up Area,11st  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,70 Lac
8,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-panchshil-one-north-hadapsar-pune-4750-sq-ft-spid-G55882738,"Panchshil One North Hadapsar, Pune",4BHK,Residential Apartment,4750 sq.ft.,Super Built-up Area,15th  of 20 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Full,4.6 Cr
9,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-spring-valley-magarpatta-magarpatta-pune-1300-sq-ft-spid-T54760244,"Spring Valley Magarpatta Magarpatta, Pune",3BHK,Residential Apartment,1300 sq.ft.,Carpet Area,3rd  of 10 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,None,1.3 Cr
10,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-marvel-bounty-hadapsar-pune-4665-sq-ft-spid-F56076128,"Marvel Bounty Hadapsar, Pune",4BHK,Residential Apartment,4665 sq.ft.,Built-up Area,5th  of 10 Floors,REGISTERED,5 to 10 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Full,2.8 Cr
11,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-marvel-bounty-magarpatta-magarpatta-pune-2145-sq-ft-spid-J43088781,"marvel bounty magarpatta Magarpatta, Pune",3BHK,Residential Apartment,2145 sq.ft.,Super Built-up Area,6th  of 11 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,1.4 Cr
12,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-gulmohar-goldcoast-rajaram-patil-nagar-pune-1127-sq-ft-spid-A56104186,"Gulmohar Goldcoast Rajaram Patil Nagar, Pune",2BHK,Residential Apartment,1127 sq.ft.,Super Built-up Area,4th  of 10 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Municipal corporation,Partial,95 Lac
13,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-marvel-bounty-hadapsar-pune-1445-sq-ft-spid-Y55612048,"Marvel Bounty Hadapsar, Pune",2BHK,Residential Apartment,1445 sq.ft.,Super Built-up Area,4th  of 12 Floors,REGISTERED,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Semifurnished,Borewell/Tank,Full,1.03 Cr
14,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-panchshil-one-north-hadapsar-pune-2400-sq-ft-spid-Z53583786,"Panchshil One North Hadapsar, Pune",3BHK,Residential Apartment,2400 sq.ft.,Carpet Area,5th  of 10 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,3.2 Cr
15,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-park-town-hadapsar-pune-1072-sq-ft-spid-W54501612,"Amanora Park Town Hadapsar, Pune",3BHK,Residential Apartment,1072 sq.ft.,Super Built-up Area,20th  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,85 Lac
16,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-620-sq-ft-spid-T54595072,"Amanora Future Towers Hadapsar, Pune",1BHK,Residential Apartment,620 sq.ft.,Super Built-up Area,6th  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,57 Lac
17,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-magarpatta-cosmos-apartment-hadapsar-pune-1480-sq-ft-spid-K53922046,"Magarpatta Cosmos Apartment Hadapsar, Pune",3BHK,Residential Apartment,1480 sq.ft.,Super Built-up Area,5th  of 11 Floors,NOT AVAILABLE,10+ Year Old,Residential Apartment,Resale,Freehold,Semifurnished,"Municipal corporation,Borewell/Tank",Partial,1.35 Cr
18,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-amanora-park-town-hadapsar-pune-570-sq-ft-spid-F53361104,"Amanora Park Town Hadapsar, Pune",1BHK,Residential Apartment,570 sq.ft.,Built-up Area,8th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Furnished,Municipal corporation,Partial,47 Lac
19,https://www.99acres.com/studio-apartments-for-sale-in-amanora-park-town-hadapsar-pune-471-sq-ft-spid-H53358868,"Amanora Park Town Hadapsar, Pune",1RK,Studio Apartment,471 sq.ft.,Built-up Area,11st  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Studio Apartment,Resale,Leasehold,Furnished,Municipal corporation,Partial,37 Lac
20,https://www.99acres.com/1-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-614-sq-ft-spid-Y54501150,"Amanora Future Towers Hadapsar, Pune",1BHK,Residential Apartment,614 sq.ft.,Super Built-up Area,6th  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,52 Lac
21,https://www.99acres.com/studio-apartments-for-sale-in-amanora-park-town-hadapsar-pune-466-sq-ft-spid-R54502046,"Amanora Park Town Hadapsar, Pune",1RK,Studio Apartment,466 sq.ft.,Built-up Area,8th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Studio Apartment,Resale,Leasehold,Furnished,Municipal corporation,Partial,32 Lac
22,https://www.99acres.com/studio-apartments-for-sale-in-amanora-park-town-hadapsar-pune-468-sq-ft-spid-V52290252,"Amanora Park Town Hadapsar, Pune",1RK,Studio Apartment,468 sq.ft.,Super Built-up Area,8th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Studio Apartment,Resale,Leasehold,Furnished,Municipal corporation,Partial,32.5 Lac
23,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-aspire-towers-hadapsar-pune-1100-sq-ft-spid-J55992872,"Amanora Aspire Towers Hadapsar, Pune",2BHK,Residential Apartment,1100 sq.ft.,Super Built-up Area,9th  of 29 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,93 Lac
24,https://www.99acres.com/4-bhk-bedroom-residential-apartments-for-sale-in-panchshil-one-north-hadapsar-pune-6000-sq-ft-spid-L51661252,"Panchshil One North Hadapsar, Pune",4BHK,Residential Apartment,6000 sq.ft.,Super Built-up Area,20th  of 20 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Semifurnished,"Municipal corporation,Borewell/Tank",Full,6.5 Cr
25,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-1073-sq-ft-spid-V52994314,"Amanora Trendy Homes Hadapsar, Pune",3BHK,Residential Apartment,1073 sq.ft.,Built-up Area,20th  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,76 Lac
26,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-762-sq-ft-spid-D52290044,"Amanora Future Towers Hadapsar, Pune",2BHK,Residential Apartment,762 sq.ft.,Super Built-up Area,11st  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Full,61 Lac
